,feature,importance,indice
9,sw,0.22751032415680683,9
8,phie,0.0920779752531911,8
10,bvw,0.08660496268044399,10
7,vcl,0.08115677453620955,7
6,grn,0.05664524067853092,6
12,ktix,0.04958764550645588,12
5,sphi,0.04834252448007524,5
13,tvd,0.04703746963644959,13
1,depth,0.04702184470357483,1
23,devi_2,0.04242324384360947,23
2,ao30,0.03828773907937849,2
4,cali,0.03310742032750735,4
3,ao90,0.029803672215144364,3
19,c1,0.02397000524743849,19
20,c2,0.02371081253801491,20
16,t2lm,0.02296123385289567,16
15,ktim,0.022194495792072312,15
14,cmrp_3ms,0.016810712716415276,14
18,gas,0.004427002114580664,18
17,marga,0.003219595874562523,17
21,c3,0.0016044415490606638,21
22,dpaz,0.0014948632175819357,22
11,k_corte,0.0,11
0,id,0.0,0
